sats,time,long,lat,velocity,heading,height,vert-vel,GPS-Longacc,turn-radius,Centre-Line-Deviation,AbsHead,Longacc,Latacc,rel-height,value
9,80250.5,118.7437406,31.88186933,102.514,280.34,58.63,1.044,-0.06,1.00E+03,-3.57E+03,-1159.7,-0.06,-0.17,50.787,safe
9,80102.9,118.7764295,31.87951583,103.894,281.37,30.91,0.036,0.14,1.00E+03,-5.45E+03,-1158.6,0.14,0.04,23.391,safe
7,75456.5,118.8082369,31.88070328,58.876,343.49,14.5,0.072,0.02,5.30E+02,-4.34E+03,-2176.5,0.02,0.14,6.319,safe
9,83939.8,118.7570885,31.96567765,3.7,178.77,15.46,0.036,0.1,9.76E+00,-2.64E+03,-1261.2,0.1,0.06,20.007,safe
10,80557.3,118.7019655,31.91223338,98.27,300.87,32.55,-0.828,-0.05,1.00E+03,3.81E+02,-1139.1,-0.05,-0.01,26.314,safe
7,75233.6,118.8122416,31.87301455,40.451,331.61,12.93,0.468,0.02,3.17E+02,-4.66E+03,-2188.4,0.02,-0.53,5.313,safe
10,83604.4,118.7485736,31.96851263,83.195,81.53,32.11,-1.296,0.24,1.00E+03,-1.40E+03,-998.47,0.24,-0.25,32.08,safe
10,80823.2,118.6836196,31.93355973,83.832,330.9,14.61,0.108,-0.02,9.10E+02,2.08E+03,-1109.1,-0.02,-0.05,11.336,safe
8,75400.1,118.8115699,31.87393632,41.369,331.24,13.38,0.216,0.06,2.41E+02,-4.60E+03,-2188.8,0.06,-0.37,6.338,safe
8,75359.8,118.8115879,31.87390968,40.423,329.95,13.38,0.18,-0.06,3.33E+02,-4.60E+03,-2190,-0.06,-0.06,6.312,safe
9,80044.6,118.7816615,31.87844175,101.237,283.83,26.78,1.044,-0.01,1.00E+03,-5.94E+03,-1156.2,-0.01,0.15,19.454,safe
10,80913.5,118.6786131,31.937043,58.282,244.32,25.23,-1.728,-0.17,2.48E+02,1.98E+03,-1195.7,-0.17,0.12,17.299,safe
7,74813.3,118.8087347,31.87852972,58.222,167.14,12.27,0.072,-0.03,1.00E+03,-3.01E+03,-1992.9,-0.03,-0.11,4.79,safe
8,74910.2,118.8127285,31.87122695,33.847,227.58,11.99,1.08,-0.01,3.63E+01,-2.68E+03,-1932.4,-0.01,0.2,5.314,safe
10,80730.5,118.6889868,31.92235382,103.392,337.05,25.75,-0.036,-0.01,1.00E+03,1.61E+03,-1103,-0.01,-0.09,19.718,safe
7,74747,118.8074694,31.88232652,60.168,163.6,10.67,0.468,-0.03,3.94E+02,-3.13E+03,-1996.4,-0.03,0.05,2.888,safe
9,80017.6,118.7897047,31.87671482,108.407,282.15,18.3,0.792,0.11,1.00E+03,-6.70E+03,-1157.9,0.11,-0.14,10.889,safe
9,75631.9,118.8243322,31.88315492,63.548,88.56,9.37,0,-0.13,5.83E+02,-5.86E+03,-2071.4,-0.13,0.04,3.973,safe
9,80742.6,118.6876875,31.92530075,103.877,340.67,19.18,-1.944,-0.11,1.00E+03,1.69E+03,-1099.3,-0.11,-0.16,18.743,safe
